age,sex,qx,lx,ex
0,female,0.0050404188223183155,100000.0,79.32807159423828
1,female,0.00038860965287312865,99495.9609375,78.72932434082031
2,female,0.0002335388562642038,99457.296875,77.7597427368164
3,female,0.00015820088447071612,99434.0703125,76.77778625488281
4,female,0.00014692246622871608,99418.3359375,75.78985595703125
5,female,0.00012407802569214255,99403.7265625,74.8009262084961
6,female,0.00010946136899292469,99391.390625,73.81014251708984
7,female,9.997986489906907e-05,99380.5078125,72.81817626953125
8,female,9.446238982491195e-05,99370.5703125,71.82540893554688
9,female,9.29005109355785e-05,99361.1796875,70.83214569091797
10,female,9.64411738095805e-05,99351.9453125,69.83868408203125
11,female,0.0001072037557605654,99342.3671875,68.84536743164062
12,female,0.000127751991385594,99331.71875,67.85269927978516
13,female,0.00015957391588017344,99319.03125,66.86129760742188
14,female,0.00020073178166057914,99303.1796875,65.87189483642578
15,female,0.00024748616851866245,99283.25,64.885009765625
16,female,0.0002969596243929118,99258.6796875,63.90095138549805
17,female,0.0003493443946354091,99229.203125,62.9197883605957
18,female,0.00040348529000766575,99194.5390625,61.94160079956055
19,female,0.0004591793694999069,99154.515625,60.966400146484375
20,female,0.0005201785825192928,99108.984375,59.994178771972656
21,female,0.0005835910560563207,99057.4296875,59.025142669677734
22,female,0.0006414749659597874,98999.6171875,58.059322357177734
23,female,0.0006902317982167006,98936.109375,57.09626770019531
24,female,0.0007331002852879465,98867.8203125,56.13535690307617
25,female,0.000773690000642091,98795.34375,55.17617416381836
26,female,0.0008195728296414018,98718.90625,54.218509674072266
27,female,0.0008758690091781318,98638.0,53.262569427490234
28,female,0.0009461396839469671,98551.609375,52.30882263183594
29,female,0.0010264342417940497,98458.3671875,51.35788345336914
30,female,0.0011109196348115802,98357.3046875,50.4101448059082
31,female,0.0011938654351979494,98248.0390625,49.46564865112305
32,female,0.0012750470777973533,98130.7421875,48.52417755126953
33,female,0.0013537678169086576,98005.6171875,47.58549118041992
34,female,0.0014331226702779531,97872.9375,46.64932632446289
35,female,0.0015180993359535933,97732.671875,45.71555709838867
36,female,0.001610698876902461,97584.3046875,44.7843017578125
37,female,0.0017091871704906225,97427.125,43.85574722290039
38,female,0.0018135621212422848,97260.6015625,42.92997741699219
39,female,0.0019245431758463383,97084.2109375,42.0070686340332
40,female,0.002048463560640812,96897.3671875,41.08710479736328
41,female,0.002183071104809642,96698.875,40.170413970947266
42,female,0.0023209145292639732,96487.7734375,39.25720977783203
43,female,0.0024612669367343187,96263.8359375,38.34737014770508
44,female,0.002611197531223297,96026.90625,37.44075012207031
45,female,0.0027838246896862984,95776.1640625,36.5374641418457
46,female,0.0029840953648090363,95509.5390625,35.638065338134766
47,female,0.003203482134267688,95224.53125,34.74323654174805
48,female,0.0034355020616203547,94919.484375,33.8532829284668
49,female,0.0036798054352402687,94593.390625,32.96826171875
50,female,0.0039350236766040325,94245.3046875,32.08818054199219
51,female,0.00421734107658267,93874.4453125,31.21297264099121
52,female,0.004544211085885763,93478.546875,30.343048095703125
53,female,0.004927776288241148,93053.7578125,29.479280471801758
54,female,0.005361374467611313,92595.2109375,28.62278938293457
55,female,0.005809030029922724,92098.7734375,27.77437973022461
56,female,0.006273764651268721,91563.765625,26.933744430541992
57,female,0.006795171182602644,90989.3125,26.100631713867188
58,female,0.007382660638540983,90371.0234375,25.27578353881836
59,female,0.008019533008337021,89703.84375,24.46005630493164
60,female,0.008702823892235756,88984.4609375,23.653757095336914
61,female,0.00939551554620266,88210.046875,22.857027053833008
62,female,0.010065809823572636,87381.265625,22.069076538085938
63,female,0.010706065222620964,86501.703125,21.288394927978516
64,female,0.0113544762134552,85575.609375,20.513364791870117
65,female,0.01204089168459177,84603.9453125,19.743215560913086
66,female,0.012879956513643265,83585.2421875,18.977745056152344
67,female,0.013820887543261051,82508.6640625,18.218843460083008
68,female,0.014915267936885357,81368.3203125,17.467164993286133
69,female,0.01618753932416439,80154.6875,16.72406768798828
70,female,0.01747533679008484,78857.1796875,15.99101734161377
71,female,0.018963683396577835,77479.125,15.266542434692383
72,female,0.02061554603278637,76009.8359375,14.551983833312988
73,female,0.02260308712720871,74442.8515625,13.847769737243652
74,female,0.02464723028242588,72760.2109375,13.156448364257812
75,female,0.02793286368250847,70966.875,12.476277351379395
76,female,0.0309222973883152,68984.5703125,11.82042121887207
77,female,0.03453625738620758,66851.40625,11.181645393371582
78,female,0.03785700723528862,64542.609375,10.563745498657227
79,female,0.04196703061461449,62099.21875,9.95971965789795
80,female,0.04633565992116928,59493.09765625,9.374106407165527
81,female,0.051084406673908234,56736.4453125,8.805273056030273
82,female,0.05660809949040413,53838.09765625,8.2523832321167
83,female,0.06288070976734161,50790.42578125,7.717563152313232
84,female,0.070582315325737,47596.6875,7.201862335205078
85,female,0.079149030148983,44237.203125,6.710817813873291
86,female,0.08787020295858383,40735.87109375,6.244650363922119
87,female,0.09871180355548859,37156.40234375,5.798062801361084
88,female,0.11063536256551743,33488.625,5.378323078155518
89,female,0.12368553876876831,29783.599609375,4.985177040100098
90,female,0.13789331912994385,26099.798828125,4.618227958679199
91,female,0.15327244997024536,22500.810546875,4.276935577392578
92,female,0.16981595754623413,19052.056640625,3.9606268405914307
93,female,0.1874929964542389,15816.712890625,3.6685056686401367
94,female,0.2062462717294693,12851.189453125,3.3996658325195312
95,female,0.22599062323570251,10200.6796875,3.1531050205230713
96,female,0.24661274254322052,7895.421875,2.9277427196502686
97,female,0.26797235012054443,5948.31005859375,2.7224366664886475
98,female,0.2899051606655121,4354.3271484375,2.536001205444336
99,female,0.3122272789478302,3091.9853515625,2.3672242164611816
100,female,1.0,2126.583251953125,2.214885711669922
