age,sex,qx,lx,ex
0,male,0.005833168979734182,100000.0,73.54985809326172
1,male,0.00041591847548261285,99416.6796875,72.98067474365234
2,male,0.0002740231284406036,99375.328125,72.01083374023438
3,male,0.00022409616212826222,99348.09375,71.03044128417969
4,male,0.00017514948558527976,99325.828125,70.04624938964844
5,male,0.00016083884111139923,99308.4296875,69.05844116210938
6,male,0.00014946643204893917,99292.4609375,68.06946563720703
7,male,0.0001372527185594663,99277.6171875,67.0795669555664
8,male,0.00011919617099920288,99263.9921875,66.08869934082031
9,male,9.7952492069453e-05,99252.1640625,65.09651947021484
10,male,8.372891170438379e-05,99242.4453125,64.10285186767578
11,male,9.280726226279512e-05,99234.1328125,63.10817337036133
12,male,0.00014378722698893398,99224.921875,62.11398696899414
13,male,0.0002475788933224976,99210.65625,61.12284469604492
14,male,0.00039240357000380754,99186.09375,60.13785934448242
15,male,0.000555668433662504,99147.171875,59.16127014160156
16,male,0.0007194523932412267,99092.078125,58.193885803222656
17,male,0.0008846521959640086,99020.7890625,57.23542022705078
18,male,0.0010441638296470046,98933.1875,56.2856559753418
19,male,0.0011988714104518294,98829.8828125,55.34396743774414
20,male,0.0013608257286250591,98711.3984375,54.4098014831543
21,male,0.0015267692506313324,98577.0703125,53.48325729370117
22,male,0.0016776453703641891,98426.5625,52.56428146362305
23,male,0.0018053704407066107,98261.4375,51.651771545410156
24,male,0.0019145358819514513,98084.0390625,50.744285583496094
25,male,0.0020147571340203285,97896.25,49.840667724609375
26,male,0.0021163332276046276,97699.015625,48.940277099609375
27,male,0.002221296774223447,97492.25,48.043006896972656
28,male,0.0023337623570114374,97275.6875,47.14885711669922
29,male,0.0024508037604391575,97048.671875,46.257972717285156
30,male,0.0025690607726573944,96810.828125,45.37039566040039
31,male,0.0026824427768588066,96562.1171875,44.485965728759766
32,male,0.0027886757161468267,96303.09375,43.60427474975586
33,male,0.002886680420488119,96034.5390625,42.72481155395508
34,male,0.0029816608875989914,95757.3203125,41.847049713134766
35,male,0.0030806928407400846,95471.8046875,40.970703125
36,male,0.003189677372574806,95177.6875,40.09576416015625
37,male,0.0033103979658335447,94874.1015625,39.22246551513672
38,male,0.00344606745056808,94560.03125,38.351078033447266
39,male,0.003597174072638154,94234.171875,37.48196792602539
40,male,0.0037721397820860147,93895.1953125,36.615478515625
41,male,0.00396381039172411,93541.0078125,35.752227783203125
42,male,0.004158393945544958,93170.2265625,34.89251708984375
43,male,0.0043525309301912785,92782.7890625,34.0361328125
44,male,0.004559838678687811,92378.9453125,33.182735443115234
45,male,0.004799496848136187,91957.7109375,32.33245086669922
46,male,0.005089799873530865,91516.359375,31.485965728759766
47,male,0.005430995021015406,91050.5625,30.64448356628418
48,male,0.005818386096507311,90556.0703125,29.809091567993164
49,male,0.0062408652156591415,90029.1796875,28.980621337890625
50,male,0.006679444573819637,89467.3203125,28.159481048583984
51,male,0.007151382975280285,88869.7265625,27.345474243164062
52,male,0.00768975680693984,88234.1875,26.53883934020996
53,male,0.008316120132803917,87555.6875,25.740623474121094
54,male,0.009022964164614677,86827.5625,24.952287673950195
55,male,0.009754044003784657,86044.1171875,24.174930572509766
56,male,0.010509870015084743,85204.8359375,23.408130645751953
57,male,0.011349978856742382,84309.34375,22.65144920349121
58,male,0.012284765020012856,83352.4375,21.90575408935547
59,male,0.013286473229527473,82328.46875,21.1719913482666
60,male,0.014341270551085472,81234.6171875,20.450345993041992
61,male,0.015401571989059448,80069.609375,19.74062156677246
62,male,0.0164368636906147,78836.4140625,19.04159164428711
63,male,0.017445433884859085,77540.59375,18.351449966430664
64,male,0.018474647775292397,76187.8671875,17.668405532836914
65,male,0.0195758193731308,74780.3203125,16.991558074951172
66,male,0.020927274599671364,73316.4375,16.320838928222656
67,male,0.02230297029018402,71782.125,15.659001350402832
68,male,0.023803994059562683,70181.171875,15.004804611206055
69,male,0.025382772088050842,68510.578125,14.35849666595459
70,male,0.026908043771982193,66771.5859375,13.719426155090332
71,male,0.028703657910227776,64974.89453125,13.084970474243164
72,male,0.030788198113441467,63109.87890625,12.456879615783691
73,male,0.033360812813043594,61166.83984375,11.83670425415039
74,male,0.035944003611803055,59126.265625,11.227958679199219
75,male,0.0404965877532959,57001.03125,10.627941131591797
76,male,0.044053275138139725,54692.68359375,10.055398941040039
77,male,0.04880969971418381,52283.29296875,9.495744705200195
78,male,0.05317326635122299,49731.359375,8.957354545593262
79,male,0.058908235281705856,47086.98046875,8.432315826416016
80,male,0.06395351141691208,44313.16796875,7.928843975067139
81,male,0.07031086087226868,41479.18359375,7.436405658721924
82,male,0.07695848494768143,38562.74609375,6.960994243621826
83,male,0.0848127156496048,35595.015625,6.499679088592529
84,male,0.0944996103644371,32576.10546875,6.0556840896606445
85,male,0.10431919246912003,29497.67578125,5.6354851722717285
86,male,0.11642839759588242,26420.501953125,5.2336106300354
87,male,0.12961922585964203,23344.40625,4.857359409332275
88,male,0.1439136415719986,20318.5234375,4.50626802444458
89,male,0.1593168079853058,17394.41015625,4.179747581481934
90,male,0.17581412196159363,14623.1884765625,3.877091646194458
91,male,0.19336862862110138,12052.2255859375,3.597487688064575
92,male,0.2119191735982895,9721.703125,3.340029001235962
93,male,0.23137934505939484,7661.48779296875,3.1037280559539795
94,male,0.25163766741752625,5888.77783203125,2.887533187866211
95,male,0.2725590765476227,4406.939453125,2.6903438568115234
96,male,0.29398778080940247,3205.7880859375,2.511026620864868
97,male,0.31575146317481995,2263.32568359375,2.3484301567077637
98,male,0.33766648173332214,1548.67724609375,2.201401472091675
99,male,0.3595440983772278,1025.7408447265625,2.068798780441284
100,male,1.0,656.9417724609375,1.9495034217834473
