age_group,timepoint,survival,donor_type
18-34 years,1yr,0.96377,DDKT
35-49,1yr,0.96112,DDKT
50-64,1yr,0.94013,DDKT
65+,1yr,0.91534,DDKT
18-34 years,3yr,0.89827,DDKT
35-49,3yr,0.90804,DDKT
50-64,3yr,0.87081,DDKT
65+,3yr,0.81068,DDKT
18-34 years,5yr,0.82222,DDKT
35-49,5yr,0.83539,DDKT
50-64,5yr,0.76807,DDKT
65+,5yr,0.66054,DDKT
18-34 years,1yr,0.98393,LDKT
35-49,1yr,0.98346,LDKT
50-64,1yr,0.98018,LDKT
65+,1yr,0.9745,LDKT
18-34 years,3yr,0.94699,LDKT
35-49,3yr,0.95391,LDKT
50-64,3yr,0.94705,LDKT
65+,3yr,0.91247,LDKT
18-34 years,5yr,0.90048,LDKT
35-49,5yr,0.91691,LDKT
50-64,5yr,0.89302,LDKT
65+,5yr,0.80221,LDKT
